"AS16-M-0023","DATA/REVOLUTION_4/AS16-M-0023.lbl","AS16-M-0023.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0024","DATA/REVOLUTION_4/AS16-M-0024.lbl","AS16-M-0024.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0025","DATA/REVOLUTION_4/AS16-M-0025.lbl","AS16-M-0025.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0026","DATA/REVOLUTION_4/AS16-M-0026.lbl","AS16-M-0026.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0027","DATA/REVOLUTION_17/AS16-M-0027.lbl","AS16-M-0027.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0028","DATA/REVOLUTION_17/AS16-M-0028.lbl","AS16-M-0028.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0029","DATA/REVOLUTION_17/AS16-M-0029.lbl","AS16-M-0029.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0030","DATA/REVOLUTION_17/AS16-M-0030.lbl","AS16-M-0030.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0031","DATA/REVOLUTION_17/AS16-M-0031.lbl","AS16-M-0031.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0032","DATA/REVOLUTION_17/AS16-M-0032.lbl","AS16-M-0032.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0033","DATA/REVOLUTION_17/AS16-M-0033.lbl","AS16-M-0033.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0034","DATA/REVOLUTION_17/AS16-M-0034.lbl","AS16-M-0034.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0035","DATA/REVOLUTION_17/AS16-M-0035.lbl","AS16-M-0035.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0036","DATA/REVOLUTION_17/AS16-M-0036.lbl","AS16-M-0036.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0037","DATA/REVOLUTION_17/AS16-M-0037.lbl","AS16-M-0037.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0038","DATA/REVOLUTION_17/AS16-M-0038.lbl","AS16-M-0038.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
"AS16-M-0039","DATA/REVOLUTION_17/AS16-M-0039.lbl","AS16-M-0039.tif","A16MC_0001","A16C-L-MC-2-SCANNED-IMAGES-V1.0","MOON","METRIC CAMERA","APOLLO 16 COMMAND AND SERVICE MODULE"
